"","Bldg_Name","rev_mo","occ"
"154","Tower 801",2017-10-01,0.6875
"155","Verve",2016-12-01,0.0645161290322581
"156","Verve",2017-01-01,0.34389400921659
"157","Verve",2017-02-01,0.431216931216931
"158","Verve",2017-03-01,0.591397849462366
"159","Verve",2017-04-01,0.677777777777778
"160","Verve",2017-05-01,0.89247311827957
"161","Verve",2017-06-01,0.888888888888889
"162","Verve",2017-07-01,0.935483870967742
"163","Verve",2017-08-01,0.817204301075269
"164","Verve",2017-09-01,0.777777777777778
"165","Verve",2017-10-01,0.774193548387097
"166","Verve",2017-11-01,0.822222222222222
"167","Verve",2017-12-01,0.870967741935484
"168","Verve",2018-01-01,0.537634408602151
"169","Verve",2018-02-01,0.928571428571429
"170","Verve",2018-03-01,0.849462365591398
"171","Verve",2018-04-01,0.788888888888889
"172","Verve",2018-05-01,0.870967741935484
"173","Verve",2018-06-01,0.888888888888889
"174","Verve",2018-07-01,0.860215053763441
"175","Verve",2018-08-01,0.89247311827957
"176","Verve",2018-09-01,0.811111111111111
"177","Verve",2018-10-01,0.419354838709677
"178","Verve",2018-12-01,0.0625
"179","Verve",2019-06-01,0.133333333333333
"180","Verve",2019-07-01,0.145161290322581
"181","Verve",2019-09-01,0.133333333333333
"182","Viktoria",2017-04-01,1
"183","Viktoria",2017-05-01,0.967741935483871
"184","Viktoria",2017-06-01,1
"185","Viktoria",2017-07-01,0.806451612903226
"186","Viktoria",2017-08-01,0.741935483870968
"187","Viktoria",2017-09-01,0.933333333333333
"188","Viktoria",2017-10-01,0.774193548387097
"189","Viktoria",2017-11-01,0.766666666666667
"190","Viktoria",2017-12-01,0.709677419354839
"191","Viktoria",2018-01-01,0.645161290322581
"192","Viktoria",2018-02-01,0.714285714285714
"193","Viktoria",2018-03-01,0.903225806451613
"194","Viktoria",2018-04-01,0.533333333333333
"195","Viktoria",2018-05-01,0.645161290322581
"196","Viktoria",2018-06-01,0.766666666666667
"197","Viktoria",2018-07-01,0.774193548387097
"198","Viktoria",2018-08-01,0.838709677419355
"199","Viktoria",2018-09-01,0.733333333333333
"200","Viktoria",2018-10-01,0.32258064516129
"201","Volta",2016-11-01,0.559065228556754
"202","Volta",2016-12-01,0.623655913978495
"203","Volta",2017-01-01,0.645161290322581
"204","Volta",2017-02-01,0.5
"205","Volta",2017-03-01,0.669354838709677
"206","Volta",2017-04-01,0.766666666666667
"207","Volta",2017-05-01,0.903225806451613
"208","Volta",2017-06-01,0.841666666666667
"209","Volta",2017-07-01,0.854838709677419
"210","Volta",2017-08-01,0.895161290322581
"211","Volta",2017-09-01,0.85
"212","Volta",2017-10-01,0.806451612903226
"213","Volta",2017-11-01,0.758333333333333
"214","Volta",2017-12-01,0.838709677419355
"215","Volta",2018-01-01,0.698924731182796
"216","Volta",2018-02-01,0.714285714285714
"217","Volta",2018-03-01,0.827956989247312
"218","Volta",2018-04-01,0.755555555555556
"219","Volta",2018-05-01,0.924731182795699
"220","Volta",2018-06-01,0.9
"221","Volta",2018-07-01,0.881720430107527
"222","Volta",2018-08-01,0.763440860215054
"223","Volta",2018-09-01,0.533333333333333
"224","Volta",2018-10-01,0.225806451612903
"225","Volta",2018-11-01,0.1
"226","Volta",2019-06-01,0.1
"227","Volta",2019-07-01,0.483870967741935
"228","Volta",2019-08-01,0.258064516129032
"229","Volta",2019-09-01,0.133333333333333
"230",NA,2016-10-01,NA
"231",NA,2016-11-01,NA
"232",NA,2017-02-01,NA
"233",NA,2017-03-01,NA
"234",NA,2017-07-01,NA
"235",NA,2017-12-01,NA
"236",NA,2018-01-01,NA
"237",NA,2018-01-31,NA
"238",NA,2018-02-01,NA
"239",NA,2018-03-01,NA
"240",NA,2018-04-01,NA
"241",NA,2018-05-01,NA
"242",NA,2018-06-01,NA
"243",NA,2018-07-01,NA
"244",NA,2018-08-01,NA
"245",NA,2018-09-01,NA
"246",NA,2018-10-01,NA
"247",NA,2018-11-01,NA
"248",NA,2018-12-01,NA
"249",NA,2019-01-01,NA
"250",NA,2019-02-01,NA
"251",NA,2019-03-01,NA
"252",NA,2019-04-01,NA
"253",NA,2019-05-01,NA
"254",NA,2019-06-01,NA
"255",NA,2019-07-01,NA
"256",NA,2019-08-01,NA
"257",NA,2019-09-01,NA
"258",NA,2019-10-01,NA
"259",NA,2019-11-01,NA
"260",NA,2019-12-01,NA
