cohort,weekdate,status,Rooms
MARINA,2018-04-01T07:00:00Z,Booked,227
MARINA,2018-04-08T07:00:00Z,Booked,226
MARINA,2018-04-15T07:00:00Z,Booked,229
MARINA,2018-04-22T07:00:00Z,Booked,147
MARINA,2018-04-29T07:00:00Z,Booked,135
MARINA,2018-05-06T07:00:00Z,Booked,45
MARINA,2018-08-26T07:00:00Z,Booked,36
MARINA,2018-09-02T07:00:00Z,Booked,115
MARINA,2018-09-09T07:00:00Z,Booked,210
MARINA,2018-09-16T07:00:00Z,Booked,211
MARINA,2018-09-23T07:00:00Z,Booked,183
MARINA,2018-09-30T07:00:00Z,Booked,227
MARINA,2018-10-07T07:00:00Z,Booked,101
MARINA,2018-10-14T07:00:00Z,Booked,60
MARINA,2018-10-21T07:00:00Z,Booked,32
MARINA,2018-10-28T07:00:00Z,Booked,9
MARINA,2018-11-04T07:00:00Z,Booked,13
MARINA,2018-11-11T07:00:00Z,Booked,27
MARINA,2018-11-18T07:00:00Z,Booked,8
MARINA,2018-11-25T07:00:00Z,Booked,2
MARINA,2018-12-02T07:00:00Z,Booked,0
MARINA,2018-12-09T07:00:00Z,Booked,5
MARINA,2018-12-16T07:00:00Z,Booked,4
MARINA,2018-12-23T07:00:00Z,Booked,6
MARINA,2018-12-30T07:00:00Z,Booked,0
OG30,2018-01-07T07:00:00Z,Booked,139
OG30,2018-01-14T07:00:00Z,Booked,139
OG30,2018-01-21T07:00:00Z,Booked,163
OG30,2018-01-28T07:00:00Z,Booked,162
OG30,2018-02-04T07:00:00Z,Booked,147
OG30,2018-02-11T07:00:00Z,Booked,155
OG30,2018-02-18T07:00:00Z,Booked,173
OG30,2018-02-25T07:00:00Z,Booked,164
OG30,2018-03-04T07:00:00Z,Booked,151
OG30,2018-03-11T07:00:00Z,Booked,181
OG30,2018-03-18T07:00:00Z,Booked,174
OG30,2018-03-25T07:00:00Z,Booked,171
OG30,2018-04-01T07:00:00Z,Booked,99
OG30,2018-04-08T07:00:00Z,Booked,126
OG30,2018-04-15T07:00:00Z,Booked,149
OG30,2018-04-22T07:00:00Z,Booked,154
OG30,2018-04-29T07:00:00Z,Booked,118
OG30,2018-05-06T07:00:00Z,Booked,137
OG30,2018-05-13T07:00:00Z,Booked,160
OG30,2018-05-20T07:00:00Z,Booked,188
OG30,2018-05-27T07:00:00Z,Booked,156
OG30,2018-06-03T07:00:00Z,Booked,171
OG30,2018-06-10T07:00:00Z,Booked,188
OG30,2018-06-17T07:00:00Z,Booked,175
OG30,2018-06-24T07:00:00Z,Booked,176
OG30,2018-07-01T07:00:00Z,Booked,163
OG30,2018-07-08T07:00:00Z,Booked,182
OG30,2018-07-15T07:00:00Z,Booked,187
OG30,2018-07-22T07:00:00Z,Booked,186
OG30,2018-07-29T07:00:00Z,Booked,175
OG30,2018-08-05T07:00:00Z,Booked,169
OG30,2018-08-12T07:00:00Z,Booked,165
OG30,2018-08-19T07:00:00Z,Booked,166
OG30,2018-08-26T07:00:00Z,Booked,139
OG30,2018-09-02T07:00:00Z,Booked,99
OG30,2018-09-09T07:00:00Z,Booked,141
OG30,2018-09-16T07:00:00Z,Booked,157
OG30,2018-09-23T07:00:00Z,Booked,162
OG30,2018-09-30T07:00:00Z,Booked,169
OG30,2018-10-07T07:00:00Z,Booked,146
OG30,2018-10-14T07:00:00Z,Booked,104
OG30,2018-10-21T07:00:00Z,Booked,97
OG30,2018-10-28T07:00:00Z,Booked,46
OG30,2018-11-04T07:00:00Z,Booked,39
OG30,2018-11-11T07:00:00Z,Booked,11
OG30,2018-11-18T07:00:00Z,Booked,5
OG30,2018-11-25T07:00:00Z,Booked,4
OG30,2018-12-02T07:00:00Z,Booked,0
OG30,2018-12-09T07:00:00Z,Booked,1
OG30,2018-12-16T07:00:00Z,Booked,4
OG30,2018-12-23T07:00:00Z,Booked,3
OG30,2018-12-30T07:00:00Z,Booked,2
