listing_nickname,year,month,monthname,week,weekname,weekdate,avail_days,booked_days,occ_rate,ADR,building,Bldg_Name,Address,Latitude,Longitude,neighborhood,cohort
C703,2017,12,Dec,51,2017-12-10 23:00:00,2017-12-11T07:00:00Z,1,0,0,NaN,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,12,Dec,51,2017-12-17 23:00:00,2017-12-18T07:00:00Z,6,4,0.6666666666666666,138.175,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,12,Dec,52,2017-12-17 23:00:00,2017-12-18T07:00:00Z,1,1,1,124.595,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,12,Dec,52,2017-12-24 23:00:00,2017-12-25T07:00:00Z,6,4,0.6666666666666666,147.14499999999998,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2017,12,Dec,53,2017-12-24 23:00:00,2017-12-25T07:00:00Z,1,1,1,163.415,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,1,Jan,1,2017-12-31 23:00:00,2018-01-01T07:00:00Z,7,2,0.2857142857142857,134.345,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,1,Jan,2,2018-01-07 23:00:00,2018-01-08T07:00:00Z,7,0,0,NaN,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,1,Jan,3,2018-01-14 23:00:00,2018-01-15T07:00:00Z,7,2,0.2857142857142857,133.375,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,1,Jan,4,2018-01-21 23:00:00,2018-01-22T07:00:00Z,7,7,1,134.2785714285714,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,1,Jan,5,2018-01-28 23:00:00,2018-01-29T07:00:00Z,3,3,1,120.65333333333335,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,2,Feb,5,2018-01-28 23:00:00,2018-01-29T07:00:00Z,4,4,1,144.87,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,2,Feb,6,2018-02-04 23:00:00,2018-02-05T07:00:00Z,7,0,0,NaN,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,2,Feb,7,2018-02-11 23:00:00,2018-02-12T07:00:00Z,7,6,0.8571428571428571,126.09999999999998,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,2,Feb,8,2018-02-18 23:00:00,2018-02-19T07:00:00Z,7,3,0.42857142857142855,110.92333333333333,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,2,Feb,9,2018-02-25 23:00:00,2018-02-26T07:00:00Z,3,0,0,NaN,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,3,Mar,9,2018-02-25 23:00:00,2018-02-26T07:00:00Z,4,3,0.75,128.5,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,3,Mar,10,2018-03-04 23:00:00,2018-03-05T07:00:00Z,7,5,0.7142857142857143,159.5362978723404,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,3,Mar,11,2018-03-12 00:00:00,2018-03-12T07:00:00Z,7,6,0.8571428571428571,130.15666666666667,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,3,Mar,12,2018-03-19 00:00:00,2018-03-19T07:00:00Z,7,5,0.7142857142857143,165.1,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,3,Mar,13,2018-03-26 00:00:00,2018-03-26T07:00:00Z,6,6,1,139.03833333333333,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,4,Apr,13,2018-03-26 00:00:00,2018-03-26T07:00:00Z,1,0,0,NaN,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,4,Apr,14,2018-04-02 00:00:00,2018-04-02T07:00:00Z,7,2,0.2857142857142857,135.415,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
