conf,listing_nickname,booked,rev,status,source,year,month,BT,rev_mo,building,Bldg_Name,Address,Latitude,Longitude,neighborhood,cohort
HM82CZMRPK,EX829,2018-03-18,143.754,confirmed,Airbnb,2018,3,1,2018-03-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HM82CZMRPK,EX829,2018-03-19,143.754,confirmed,Airbnb,2018,3,1,2018-03-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
RU-rAwjDw,EX829,2017-11-17,100.755,confirmed,Expedia,2017,11,1,2017-11-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
RU-rAwjDw,EX829,2017-11-18,100.755,confirmed,Expedia,2017,11,1,2017-11-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
RU-lrnNqJ,EX829,2017-10-21,126.35,confirmed,Expedia,2017,10,1,2017-10-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
RU-lrnNqJ,EX829,2017-10-22,126.35,confirmed,Expedia,2017,10,1,2017-10-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
RU-lrnx37,EX829,2017-09-15,186.07333333333335,confirmed,Expedia,2017,9,1,2017-09-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
RU-lrnx37,EX829,2017-09-16,186.07333333333335,confirmed,Expedia,2017,9,1,2017-09-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
RU-lrnx37,EX829,2017-09-17,186.07333333333335,confirmed,Expedia,2017,9,1,2017-09-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
RU-W3GzPX,EX829,2017-09-19,196.36333333333334,confirmed,Expedia,2017,9,1,2017-09-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
RU-W3GzPX,EX829,2017-09-20,196.36333333333334,confirmed,Expedia,2017,9,1,2017-09-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
RU-W3GzPX,EX829,2017-09-21,196.36333333333334,confirmed,Expedia,2017,9,1,2017-09-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMECSKNHT2,EX829,2017-11-13,120.27999999999999,confirmed,Airbnb,2017,11,1,2017-11-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMECSKNHT2,EX829,2017-11-14,120.27999999999999,confirmed,Airbnb,2017,11,1,2017-11-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMECSKNHT2,EX829,2017-11-15,120.27999999999999,confirmed,Airbnb,2017,11,1,2017-11-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
RU-P3LwRA,EX829,2017-08-23,271.95,confirmed,booking.com,2017,8,1,2017-08-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMFA4TDMC2,EX829,2017-10-11,172.4,confirmed,Airbnb,2017,10,1,2017-10-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMFA4TDMC2,EX829,2017-10-12,172.4,confirmed,Airbnb,2017,10,1,2017-10-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMFA4TDMC2,EX829,2017-10-13,172.4,confirmed,Airbnb,2017,10,1,2017-10-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMFA4TDMC2,EX829,2017-10-14,172.4,confirmed,Airbnb,2017,10,1,2017-10-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMFA4TDMC2,EX829,2017-10-15,172.4,confirmed,Airbnb,2017,10,1,2017-10-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
RU-gm0Q0G,EX829,2017-08-24,402.97,confirmed,booking.com,2017,8,1,2017-08-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMRARE9AMR,EX829,2017-10-03,156.28571428571428,confirmed,Airbnb,2017,10,1,2017-10-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMRARE9AMR,EX829,2017-10-04,156.28571428571428,confirmed,Airbnb,2017,10,1,2017-10-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMRARE9AMR,EX829,2017-10-05,156.28571428571428,confirmed,Airbnb,2017,10,1,2017-10-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMRARE9AMR,EX829,2017-10-06,156.28571428571428,confirmed,Airbnb,2017,10,1,2017-10-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMRARE9AMR,EX829,2017-10-07,156.28571428571428,confirmed,Airbnb,2017,10,1,2017-10-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
