conf,listing_nickname,booked,rev,status,source
(blank),VR1203,2017-02-08,168.17,confirmed,direct
(blank),VR1203,2017-02-09,168.17,confirmed,direct
(blank),VR1203,2017-02-16,180.84,confirmed,direct
(blank),VR1203,2017-02-17,180.84,confirmed,direct
(blank),VR1203,2017-02-18,180.84,confirmed,direct
0,VR1203,2017-03-23,169,confirmed,manual
0,VR1203,2017-03-24,169,confirmed,manual
0,VR1203,2017-03-25,169,confirmed,manual
0,VR1203,2017-03-26,169,confirmed,manual
0,VR1203,2017-03-27,169,confirmed,manual
0,VR1203,2017-03-28,169,confirmed,manual
0,VR1203,2017-03-29,169,confirmed,manual
0,VR1203,2017-03-30,169,confirmed,manual
0,VR1203,2017-03-31,169,confirmed,manual
0,VR1203,2017-04-01,169,confirmed,manual
0,VR1203,2017-04-02,169,confirmed,manual
0,VR1203,2017-04-03,169,confirmed,manual
0,VR1203,2017-04-04,169,confirmed,manual
0,VR1203,2017-04-05,169,confirmed,manual
0,VR1203,2017-04-06,169,confirmed,manual
RU-V3YNrM,VR1203,2018-10-21,251.468,confirmed,booking.com
RU-V3YNrM,VR1203,2018-10-22,251.468,confirmed,booking.com
RU-V3YNrM,VR1203,2018-10-23,251.468,confirmed,booking.com
RU-V3YNrM,VR1203,2018-10-24,251.468,confirmed,booking.com
RU-V3YNrM,VR1203,2018-10-25,251.468,confirmed,booking.com
0,VR1203,2017-05-27,169,confirmed,manual
0,VR1203,2017-05-28,169,confirmed,manual
RU-O3N1vY,VR1203,2018-07-06,281.68,confirmed,Expedia
RU-O3N1vY,VR1203,2018-07-07,281.68,confirmed,Expedia
RU-O3N1vY,VR1203,2018-07-08,281.68,confirmed,Expedia
0,VR1203,2017-06-09,199,confirmed,manual
0,VR1203,2017-06-10,199,confirmed,manual
0,VR1203,2017-06-11,199,confirmed,manual
0,VR1203,2017-06-12,199,confirmed,manual
0,VR1203,2017-03-14,211.25,confirmed,booking.com
0,VR1203,2017-03-15,211.25,confirmed,booking.com
1626233201,VR1203,2017-05-13,211.25,confirmed,booking.com
1626233201,VR1203,2017-05-14,211.25,confirmed,booking.com
1626233201,VR1203,2017-05-15,211.25,confirmed,booking.com
1858424909,VR1203,2017-04-20,211.25,confirmed,booking.com
1858424909,VR1203,2017-04-21,211.25,confirmed,booking.com
1513364517,VR1203,2017-04-25,211.25,confirmed,booking.com
1513364517,VR1203,2017-04-26,211.25,confirmed,booking.com
2037189034,VR1203,2017-04-29,211.25,confirmed,booking.com
2037189034,VR1203,2017-04-30,211.25,confirmed,booking.com
2037189034,VR1203,2017-05-01,211.25,confirmed,booking.com
2037189034,VR1203,2017-05-02,211.25,confirmed,booking.com
2037189034,VR1203,2017-05-03,211.25,confirmed,booking.com
1664310118,VR1203,2017-05-24,217.91666666666666,confirmed,booking.com
1664310118,VR1203,2017-05-25,217.91666666666666,confirmed,booking.com
1664310118,VR1203,2017-05-26,217.91666666666666,confirmed,booking.com
833105839,VR1203,2017-06-23,202.12,confirmed,Expedia
833105839,VR1203,2017-06-24,202.12,confirmed,Expedia
833105839,VR1203,2017-06-25,202.12,confirmed,Expedia
836325689,VR1203,2017-06-05,221.41,confirmed,Expedia
836325689,VR1203,2017-06-06,221.41,confirmed,Expedia
836325689,VR1203,2017-06-07,221.41,confirmed,Expedia
836325689,VR1203,2017-06-08,221.41,confirmed,Expedia
838585766,VR1203,2017-06-20,246.01,confirmed,Expedia
838585766,VR1203,2017-06-21,246.01,confirmed,Expedia
838585766,VR1203,2017-06-22,246.01,confirmed,Expedia
839975460,VR1203,2017-05-30,199.07000000000002,confirmed,Expedia
839975460,VR1203,2017-05-31,199.07000000000002,confirmed,Expedia
839975460,VR1203,2017-06-01,199.07000000000002,confirmed,Expedia
RU-X8Z0lW,VR1203,2018-08-01,378.74,confirmed,Expedia
