Bldg_Name,listing_nickname,year,rev_mo,days_booked,days_avail,occ_rate,Avg_Rev,Rev_Par
Marina SLU,MS209,2018,2018-09-01,3,30,0.1,252.1833333333333,25.218333333333334
Marina SLU,MS209,2018,2018-10-01,2,31,0.06451612903225806,234.73,15.143870967741934
Marina SLU,MS210,2018,2018-02-01,13,28,0.4642857142857143,96.33692307692309,44.72785714285715
Marina SLU,MS210,2018,2018-03-01,25,31,0.8064516129032258,117.2841,94.58395161290322
Marina SLU,MS210,2018,2018-04-01,25,30,0.8333333333333334,141.4827,117.90225
Marina SLU,MS210,2018,2018-08-01,1,66,0.015151515151515152,283.88666666666666,4.301313131313131
Marina SLU,MS210,2018,2018-09-01,23,30,0.7666666666666667,182.714384057971,140.08102777777776
Marina SLU,MS210,2018,2018-10-01,19,31,0.6129032258064516,160.12855263157894,98.1433064516129
Marina SLU,MS210,2018,2018-11-01,2,30,0.06666666666666667,154.58,10.305333333333333
Marina SLU,MS304,2018,2018-02-01,7,28,0.25,111.07142857142857,27.767857142857142
Marina SLU,MS304,2018,2018-03-01,26,31,0.8387096774193549,122.68884615384614,102.90032258064515
Marina SLU,MS304,2018,2018-04-01,19,30,0.6333333333333333,120.51947368421052,76.329
Marina SLU,MS304,2018,2018-08-01,2,42,0.047619047619047616,136.08,6.48
Marina SLU,MS304,2018,2018-09-01,19,30,0.6333333333333333,212.02,134.27933333333334
Marina SLU,MS304,2018,2018-10-01,7,31,0.22580645161290322,172.92428571428573,39.04741935483871
Marina SLU,MS308,2018,2018-09-01,13,30,0.43333333333333335,180.5953846153846,78.258
Marina SLU,MS308,2018,2018-10-01,4,31,0.12903225806451613,145.7425,18.80548387096774
Marina SLU,MS309,2018,2018-01-01,2,377,0.005305039787798408,104.61,0.5549602122015915
Marina SLU,MS309,2018,2018-03-01,19,31,0.6129032258064516,106.35129457973291,65.18305151661049
Marina SLU,MS309,2018,2018-08-01,1,42,0.023809523809523808,174,4.142857142857142
