listing_nickname,launch_date,end_date,building,neighborhood
MS520,1/15/18,4/30/18,marina,south lake union
MS520,1/15/18,5/9/18,marina,south lake union
MS520,9/4/18,12/31/19,marina,south lake union
MS609,1/15/18,4/30/18,marina,south lake union
MS609,1/15/18,5/9/18,marina,south lake union
MS609,12/31/19,12/31/19,marina,south lake union
MS610,1/15/18,4/30/18,marina,south lake union
MS610,1/15/18,5/9/18,marina,south lake union
MS610,9/3/18,12/31/19,marina,south lake union
MS611,1/15/18,4/30/18,marina,south lake union
MS611,1/15/18,5/9/18,marina,south lake union
MS611,9/4/18,12/31/19,marina,south lake union
MS613,1/15/18,4/30/18,marina,south lake union
MS613,1/15/18,5/9/18,marina,south lake union
MS613,9/4/18,12/31/19,marina,south lake union
MS614,1/15/18,4/30/18,marina,south lake union
MS614,1/15/18,5/9/18,marina,south lake union
MS614,9/4/18,12/31/19,marina,south lake union
MS615,1/15/18,4/30/18,marina,south lake union
MS615,1/15/18,5/9/18,marina,south lake union
MS615,9/4/18,12/31/19,marina,south lake union
MS616,1/15/18,4/30/18,marina,south lake union
MS616,1/15/18,5/9/18,marina,south lake union
MS616,12/31/19,12/31/19,marina,south lake union
MS617,1/15/18,4/30/18,marina,south lake union
MS617,1/15/18,5/9/18,marina,south lake union
MS617,9/4/18,12/31/19,marina,south lake union
MS618,1/15/18,4/30/18,marina,south lake union
MS618,1/15/18,5/9/18,marina,south lake union
MS618,9/5/18,12/31/19,marina,south lake union
MS812,1/15/18,4/30/18,marina,south lake union
MS812,1/15/18,5/9/18,marina,south lake union
MS812,9/5/18,12/31/19,marina,south lake union
MS813,1/15/18,4/30/18,marina,south lake union
MS813,1/15/18,5/9/18,marina,south lake union
MS813,9/5/18,12/31/19,marina,south lake union
MS814,1/15/18,4/30/18,marina,south lake union
MS814,1/15/18,5/9/18,marina,south lake union
MS814,9/4/18,12/31/19,marina,south lake union
MS815,1/15/18,4/30/18,marina,south lake union
MS815,1/15/18,5/9/18,marina,south lake union
MS815,9/4/18,12/31/19,marina,south lake union
MS816,1/15/18,4/30/18,marina,south lake union
MS816,1/15/18,5/9/18,marina,south lake union
MS816,9/3/18,12/31/19,marina,south lake union
MS817,1/15/18,4/30/18,marina,south lake union
MS817,1/15/18,5/9/18,marina,south lake union
MS817,9/5/18,12/31/19,marina,south lake union
MS818,1/15/18,4/30/18,marina,south lake union
MS818,1/15/18,5/9/18,marina,south lake union
MS818,9/5/18,12/31/19,marina,south lake union
MS913,1/15/18,4/30/18,marina,south lake union
MS913,1/15/18,5/9/18,marina,south lake union
MS913,9/3/18,12/31/19,marina,south lake union
MS914,1/15/18,4/30/18,marina,south lake union
MS914,1/15/18,5/9/18,marina,south lake union
MS914,9/5/18,12/31/19,marina,south lake union
MS915,1/15/18,4/30/18,marina,south lake union
MS915,1/15/18,5/9/18,marina,south lake union
MS915,9/7/18,12/31/19,marina,south lake union
MS916,1/15/18,4/30/18,marina,south lake union
MS916,1/15/18,5/9/18,marina,south lake union
MS916,9/7/18,12/31/19,marina,south lake union
R527,10/3/16,10/3/18,rollin,south lake union
R712,3/7/17,12/31/18,rollin,south lake union
R912,10/12/16,10/12/18,rollin,south lake union
T19G,10/31/16,10/31/17,tower,downtown
T8D,11/2/16,10/31/17,tower,downtown
V504,11/9/16,12/31/17,volta,belltown
V603,2/19/17,12/31/18,volta,belltown
V604,11/4/16,12/31/18,volta,belltown
V703,11/4/16,12/31/18,volta,belltown
VK1701,4/10/17,12/31/18,viktoria,belltown
VR1203,1/4/17,12/31/18,verve,belltown
VR1204,11/30/16,12/31/18,verve,belltown
VR1207,2/11/17,12/31/18,verve,belltown
