listing_nickname,launch_date,end_date,building,neighborhood,pdlaunch_date,pdend_date
CR322,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR323,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR324,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR401,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR402,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR404,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR409,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR410,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR413,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR414,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR416,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR417,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR422,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR423,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR424,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR503,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR505,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR511,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR513,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR514,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR515,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR516,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR517,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
CR519,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma,south lake union,2018-05-01T07:00:00Z,2019-12-01T08:00:00Z
E4A,2017-02-27T08:00:00Z,2018-10-31T07:00:00Z,bayview,lower queen anne,2017-02-01T08:00:00Z,2018-10-01T07:00:00Z
E4F,2016-10-02T07:00:00Z,2018-10-02T07:00:00Z,bayview,lower queen anne,2016-10-01T07:00:00Z,2018-10-01T07:00:00Z
EX706,2017-02-02T08:00:00Z,2018-12-31T08:00:00Z,excelsior,capitol hill,2017-02-01T08:00:00Z,2018-12-01T08:00:00Z
EX707,2017-02-01T08:00:00Z,2018-12-31T08:00:00Z,excelsior,capitol hill,2017-02-01T08:00:00Z,2018-12-01T08:00:00Z
EX815,2017-03-24T07:00:00Z,2018-12-31T08:00:00Z,excelsior,capitol hill,2017-03-01T08:00:00Z,2018-12-01T08:00:00Z
EX826,2017-03-24T07:00:00Z,2018-12-31T08:00:00Z,excelsior,capitol hill,2017-03-01T08:00:00Z,2018-12-01T08:00:00Z
EX829,2017-03-24T07:00:00Z,2018-12-31T08:00:00Z,excelsior,capitol hill,2017-03-01T08:00:00Z,2018-12-01T08:00:00Z
M601,2017-11-01T07:00:00Z,2018-11-01T07:00:00Z,mark,south lake union,2017-11-01T07:00:00Z,2018-11-01T07:00:00Z
M603,2017-11-01T07:00:00Z,2018-11-01T07:00:00Z,mark,south lake union,2017-11-01T07:00:00Z,2018-11-01T07:00:00Z
M605,2017-12-02T08:00:00Z,2018-11-01T07:00:00Z,mark,south lake union,2017-12-01T08:00:00Z,2018-11-01T07:00:00Z
M615,2016-10-19T07:00:00Z,2018-10-19T07:00:00Z,mark,south lake union,2016-10-01T07:00:00Z,2018-10-01T07:00:00Z
M617,2016-10-19T07:00:00Z,2018-10-19T07:00:00Z,mark,south lake union,2016-10-01T07:00:00Z,2018-10-01T07:00:00Z
M619,2016-10-19T07:00:00Z,2018-10-19T07:00:00Z,mark,south lake union,2016-10-01T07:00:00Z,2018-10-01T07:00:00Z
M621,2016-10-25T07:00:00Z,2018-10-19T07:00:00Z,mark,south lake union,2016-10-01T07:00:00Z,2018-10-01T07:00:00Z
M623,2016-10-25T07:00:00Z,2018-10-19T07:00:00Z,mark,south lake union,2016-10-01T07:00:00Z,2018-10-01T07:00:00Z
MS202,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS202,2019-12-31T08:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2019-12-01T08:00:00Z,2019-12-01T08:00:00Z
MS201,2018-08-28T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-08-01T07:00:00Z,2019-12-01T08:00:00Z
MS203,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS203,2019-12-31T08:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2019-12-01T08:00:00Z,2019-12-01T08:00:00Z
MS204,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS204,2019-12-31T08:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2019-12-01T08:00:00Z,2019-12-01T08:00:00Z
MS205,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS205,2018-08-28T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-08-01T07:00:00Z,2019-12-01T08:00:00Z
MS206,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS206,2018-08-28T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-08-01T07:00:00Z,2019-12-01T08:00:00Z
